ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,effectx,fairx,confx,antisocx
136866290,Male,39,3,White,,5,5,0,1.0753852693237833,2.6127204646350783,0.3796557684552454,1.22
136866330,Male,44,3,White,University,1,5,1,-0.122500447,0.615744375,-1.051875777,0.65
136866370,Male,33,2,White,GCSE,2,5,0,-1.889381878,-1.594107339,-0.067063295,0.26
136866410,Female,71,6,White,ALevel,4,5,0,,,-0.056910589,0.26
136867010,Female,30,2,White,University,1,4,0,0.4564776492571459,0.6968398503966078,0.3593503564624661,0
136867170,Female,31,2,White,University,5,3,1,,1.2138235082069886,0.3593503564624661,0.13
136867250,Female,35,3,White,ALevel,5,5,0,1.0554205073861498,0.6968398503966078,0.3593503564624661,0.73
136868090,Male,63,5,White,University,1,2,0,2.7923547959602613,2.9472393020417953,1.7807291959570102,0.49
136868210,Male,56,5,White,Other,8,2,0,0.1570062201926439,0.6968398503966078,1.3644682501050367,0.5
136868250,Male,33,2,White,University,1,2,0,1.3449095554818349,1.6395747558155376,-0.056910589,0.49
136869010,Female,23,1,White,ALevel,2,5,0,,,-0.615309419,-0.66
136869090,Male,69,6,White,University,5,2,0,-0.411989495,-0.600687761,-1.762565197,-0.49
136869210,Male,38,3,Asian or Asian British,University,1,3,1,-2.168888546,,-2.71691956,-1.2
136869250,Male,26,2,White,University,1,5,0,,,0.5624044763902581,1.22
136869290,Female,52,4,White,GCSE,4,3,1,-0.382042352,,-0.036605177,-1.45
136870050,Female,61,5,White,,5,1,0,,,1.7807291959570102,-0.44
136870090,Female,22,1,White,University,1,3,1,0.1570062201926439,0.4434164887248523,,0.5
136870170,Male,60,5,White,GCSE,3,4,0,1.0753852693237833,,-1.041723071,0.21
136870210,Female,66,6,White,,5,3,0,2.2233590807377075,,1.0801924822061275,1.22
136870290,Female,60,5,White,ALevel,4,5,0,-0.092553304,,1.5776750760292182,0.95
136871050,Male,42,3,White,GCSE,5,1,0,,,-1.051875777,-0.28
136871090,Female,19,1,White,GCSE,5,1,0,1.9238876516732053,,1.7807291959570102,-1.47
136871130,Male,65,6,White,,2,2,0,0.1769709821302773,,0.3593503564624661,0.5
136871170,Female,33,2,White,GCSE,1,3,0,-0.122500447,0.3623210129898906,0.3593503564624661,0.43
136871210,Male,66,6,White,University,2,1,0,,,,0.02
136871250,Female,81,7,White,Other,1,4,0,,,,1.22
136872010,Male,62,5,White,ALevel,3,4,1,,0.007528307,0.613168006,1
136872050,Female,22,1,White,ALevel,3,4,0,1.0454381264173331,,-0.067063295,0.51
